date,player,tm,game,prop,line,rec,book,odds,ev,rank,in_top10,in_ev25,actual,result,units,real_odds
20260515,Shakira Austin,WSH,WSH @ IND,Rebounds,8.5,UNDER,,-110,52.3,12,False,True,9,LOSS,-1.0,False
20260515,Brittney Griner,CON,LV @ CON,Points,12.5,UNDER,,-110,52.1,13,False,True,,VOID,0.0,False
20260515,Brittney Sykes,TOR,TOR @ LA,Rebounds,3.5,UNDER,,-110,49.6,14,False,True,4,LOSS,-1.0,False
20260515,Kelsey Plum,LA,TOR @ LA,Rebounds,3.5,OVER,,-110,44.1,15,False,True,0,LOSS,-1.0,False
20260515,Alyssa Thomas,PHX,CHI @ PHX,Points,16.5,UNDER,,-110,42.7,16,False,True,17,LOSS,-1.0,False
20260515,DeWanna Bonner,PHX,CHI @ PHX,Rebounds,6.5,UNDER,,-110,40.7,17,False,True,7,LOSS,-1.0,False
20260515,Nyara Sabally,TOR,TOR @ LA,Rebounds,6.5,UNDER,,-110,39.2,18,False,True,9,LOSS,-1.0,False
20260515,Sophie Cunningham,IND,WSH @ IND,Rebounds,3.5,UNDER,,-110,38.9,19,False,True,1,WIN,0.9091,False
20260515,Chennedy Carter,LV,LV @ CON,Points,13.5,OVER,,-110,37.4,20,False,True,18,WIN,0.9091,False
20260515,Brittney Griner,CON,LV @ CON,Rebounds,5.5,UNDER,,-110,36.3,21,False,True,,VOID,0.0,False
20260515,Kelsey Plum,LA,TOR @ LA,Points,20.5,UNDER,,-110,33.5,22,False,True,27,LOSS,-1.0,False
20260515,Nneka Ogwumike,LA,TOR @ LA,Points,17.5,UNDER,,-110,31.8,23,False,True,20,LOSS,-1.0,False
20260515,Rickea Jackson,CHI,CHI @ PHX,Rebounds,4.5,UNDER,,-110,30.9,24,False,True,6,LOSS,-1.0,False
20260515,NaLyssa Smith,LV,LV @ CON,Rebounds,5.5,UNDER,,-110,30.0,25,False,True,4,WIN,0.9091,False
20260515,Saniya Rivers,CON,LV @ CON,Points,8.5,OVER,,-110,29.8,26,False,True,14,WIN,0.9091,False
20260515,Erica Wheeler,LA,TOR @ LA,Points,8.5,UNDER,,-110,29.7,27,False,True,10,LOSS,-1.0,False
20260515,Rickea Jackson,CHI,CHI @ PHX,Points,16.5,UNDER,,-110,28.3,28,False,True,29,LOSS,-1.0,False
20260515,Monique Billings,IND,WSH @ IND,Rebounds,5.5,UNDER,,-110,27.8,29,False,True,9,LOSS,-1.0,False
20260515,Skylar Diggins,CHI,CHI @ PHX,Points,16.5,UNDER,,-110,25.1,30,False,True,0,WIN,0.9091,False
20260517,Stefanie Dolson,SEA,SEA @ IND,Rebounds,4.5,UNDER,,-110,101.4,1,True,True,5,LOSS,-1.0,False
20260517,Monique Billings,IND,SEA @ IND,Rebounds,7.5,UNDER,,-110,95.5,2,True,True,5,WIN,0.9091,False
20260517,Cameron Brink,LA,TOR @ LA,Points,7.5,UNDER,,-110,66.5,3,True,True,7,WIN,0.9091,False
